# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Aug 27 16:44:02 PDT 2020 [seed=666]
# -seed 666 -overwrite /Users/homefolder/FluHawkes/xml/fluCombi_geo_BMDS_Hawkes_Exper.xml
state	mds.residual.precision	sigmaXprec.h1	tauXprec.h1	tauTprec.h1	omega.h1	theta.h1	mu0.h1	sigmaXprec.h3	tauXprec.h3	tauTprec.h3	omega.h3	theta.h3	mu0.h3	sigmaXprec.yam	tauXprec.yam	tauTprec.yam	omega.yam	theta.yam	mu0.yam	sigmaXprec.vic	tauXprec.vic	tauTprec.vic	omega.vic	theta.vic	mu0.vic
460000	0.6845858945766244	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
470000	0.6848948745472463	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
480000	0.6845201160109995	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
490000	0.6844388675037466	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
500000	0.684206679844231	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
510000	0.6839974666062277	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
520000	0.6841521467406764	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
530000	0.6839206977877766	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
540000	0.6839471640979792	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
550000	0.6841439284063645	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
560000	0.6842729834512741	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
570000	0.6845848690874162	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
580000	0.6842737535426255	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
590000	0.6850620478065157	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
600000	0.6841197770231439	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
610000	0.6843227949805794	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
620000	0.6840630074448734	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
630000	0.6843683225808537	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
640000	0.6842110214707462	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
650000	0.6843588963390772	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
660000	0.6843634399380955	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
670000	0.6845160997932919	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
680000	0.6841443137117457	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
690000	0.684264513483688	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
700000	0.683646802378331	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
710000	0.6843174915267015	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
720000	0.6839518042898092	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
730000	0.6842527224350075	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
740000	0.6835949572915234	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
750000	0.6843934757044701	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
760000	0.6845566151445871	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
770000	0.6841878617219741	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
780000	0.6847533019704618	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
790000	0.6849783628093699	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
800000	0.6844033024154518	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
