# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Aug 27 16:44:01 PDT 2020 [seed=666]
# -seed 666 -overwrite /Users/homefolder/FluHawkes/xml/fluCombi_geo_BMDS_Hawkes_Exper.xml
state	posterior	prior	likelihood	mdsLikelihood
860000	-1.8559613531709857E7	-1480.504440373632	-1.8558133027269483E7	-1.8558133027269483E7
870000	-1.8559728541995175E7	-1481.6460633649122	-1.855824689593181E7	-1.855824689593181E7
880000	-1.8559688118313815E7	-1479.584541882372	-1.8558208533771932E7	-1.8558208533771932E7
890000	-1.855973249740436E7	-1478.3999099053121	-1.8558254097494453E7	-1.8558254097494453E7
900000	-1.855976489317395E7	-1477.4679784735863	-1.8558287425195478E7	-1.8558287425195478E7
910000	-1.855980127921305E7	-1478.1519852146025	-1.8558323127227835E7	-1.8558323127227835E7
920000	-1.8559714254357327E7	-1476.6540087537778	-1.8558237600348573E7	-1.8558237600348573E7
930000	-1.855967814705057E7	-1476.127188722939	-1.8558202019861847E7	-1.8558202019861847E7
940000	-1.8559742397047963E7	-1475.5829661315383	-1.8558266814081833E7	-1.8558266814081833E7
950000	-1.8559666132471755E7	-1473.8763236311017	-1.8558192256148122E7	-1.8558192256148122E7
960000	-1.8559629577878125E7	-1473.3169692541824	-1.8558156260908872E7	-1.8558156260908872E7
970000	-1.8559632374446817E7	-1473.343348197494	-1.855815903109862E7	-1.855815903109862E7
980000	-1.855960302491335E7	-1471.7318965932973	-1.8558131293016754E7	-1.8558131293016754E7
990000	-1.8559713290843908E7	-1469.8651679061843	-1.8558243425676003E7	-1.8558243425676003E7
1000000	-1.855968973881489E7	-1468.3757684372324	-1.8558221363046452E7	-1.8558221363046452E7
1010000	-1.855969475301805E7	-1468.5337935468808	-1.8558226219224505E7	-1.8558226219224505E7
1020000	-1.8559544672366537E7	-1468.7657888822073	-1.8558075906577654E7	-1.8558075906577654E7
1030000	-1.8559686728569187E7	-1468.7829260660346	-1.855821794564312E7	-1.855821794564312E7
1040000	-1.855965853192462E7	-1467.8502803203542	-1.8558190681644298E7	-1.8558190681644298E7
1050000	-1.8559827749008495E7	-1467.5055796470476	-1.855836024342885E7	-1.855836024342885E7
1060000	-1.8559656301791787E7	-1466.3857997663133	-1.855818991599202E7	-1.855818991599202E7
1070000	-1.855977658645357E7	-1465.952399102142	-1.8558310634054467E7	-1.8558310634054467E7
1080000	-1.855964772952112E7	-1464.4434515808919	-1.8558183286069542E7	-1.8558183286069542E7
1090000	-1.8559632657942515E7	-1464.372363698304	-1.8558168285578817E7	-1.8558168285578817E7
1100000	-1.8559606034030292E7	-1465.5278209793107	-1.8558140506209314E7	-1.8558140506209314E7
1110000	-1.8559737657190137E7	-1466.5890310727673	-1.8558271068159062E7	-1.8558271068159062E7
1120000	-1.8559605198675778E7	-1466.3335655453493	-1.8558138865110233E7	-1.8558138865110233E7
1130000	-1.8559684206907462E7	-1465.7363714548871	-1.855821847053601E7	-1.855821847053601E7
1140000	-1.8559595638563707E7	-1465.1366087954434	-1.8558130501954913E7	-1.8558130501954913E7
1150000	-1.8559722111461576E7	-1466.0266342356076	-1.855825608482734E7	-1.855825608482734E7
1160000	-1.8559608607953817E7	-1465.4129783049643	-1.855814319497551E7	-1.855814319497551E7
